airline_id,name,country_name
11804,Halcyonair,Cape Verde
11805,Business Aviation,Congo (Kinshasa)
11806,Compagnie Africaine d\\'Aviation,Congo (Kinshasa)
13187,Eastok Avia,Kyrgyzstan
13389,South West Africa Territory Force,Namibia
14388,Congo Express,Congo (Kinshasa)
16409,Nihon.jet connect,Kyrgyzstan
16960,Asian Wings Airways,Burma
17786,Korongo Airlines,Congo (Kinshasa)
18476,Air KBZ,Burma
18497,Yangon Airways Ltd.,Burma
18762,Lina Congo,Congo (Brazzaville)
19244,Golden Myanmar Airlines,Burma
20225,Mann Yadanarpon Airlines,Burma
21036,Tez Jet Airlines,Kyrgyzstan
