airport_id,name,city,country_name
11230,Boende Airport,Boende,Congo (Kinshasa)
11290,Kongolo Airport,Kongolo,Congo (Kinshasa)
11292,Kahemba Airport,Kahemba,Congo (Kinshasa)
11808,Arandis Airport,Arandis,Namibia
11809,Mariental Airport,Mariental,Namibia
11948,Issyk-Kul International Airport,Tamchy,Kyrgyzstan
11949,Kant Air Base,Kant,Kyrgyzstan
12003,Meiktila Air Base,Meiktila,Burma
13106,Tórshavn/Bodanes Heliport,Torshavn,Faroe Islands
13112,Otjiwarongo Airport,Otjiwarongo,Namibia
13260,Oyo Ollombo Airport,Oyo,Congo (Brazzaville)
13447,Impfondo Airport,Impfondo,Congo (Brazzaville)
13463,King Mswati III International Airport,Manzini,Swaziland
13561,Kazarman Airport,Kazarman,Kyrgyzstan
13562,Kerben Airport,Kerben,Kyrgyzstan
13564,Naryn Airport,Naryn,Kyrgyzstan
13763,Farm Whitwater East Landing Strip,Hardap,Namibia
13802,Klaksvik Heliport,Klaksvik,Faroe Islands
14099,Jalal-Abad Airport,Jalal-Abad,Kyrgyzstan
